2023-08-31 22:23:54,376 - INFO - ===============================================
2023-08-31 22:23:54,376 - INFO - Starting fake streaming process.
2023-08-31 22:23:54,376 - INFO - Starting to stream data from orders_deliveries.csv to ('localhost', 9999).
2023-08-31 22:23:54,377 - INFO - Opened for reading: orders_deliveries.csv.
2023-08-31 22:23:54,377 - INFO - Skipped header row: ['Country', 'Customer_Name', 'Delivery_Year ', 'Engine', 'Model_Series', 'Order_Month', 'Order_Year', 'Region', 'Delivery_Total', 'Order_Total', 'Unfilled_Orders']
2023-08-31 22:23:54,380 - INFO - Sent: b'[Afghanistan, Ariana Afghan Airlines, 1968, PW, 727, Mar, 1968, Central Asia, 1, 1, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:23:56,380 - INFO - Sent: b'[Afghanistan, Ariana Afghan Airlines, 1970, PW, 727, Apr, 1969, Central Asia, 1, 1, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:23:58,382 - INFO - Sent: b'[Afghanistan, Ariana Afghan Airlines, 1979, GE, DC-10, Sep, 1978, Central Asia, 1, 1, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:00,383 - INFO - Sent: b'[Afghanistan, Ariana Afghan Airlines, , CF, 737-700, Nov, 2005, Central Asia, 0, 4, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:02,383 - INFO - Sent: b'[Algeria, Air Algerie, 1974, PW, 727, Jan, 1974, Africa, 1, 1, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:04,384 - INFO - Sent: b'[Algeria, Air Algerie, 1974, PW, 737-200, Jan, 1974, Africa, 1, 1, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:06,386 - INFO - Sent: b'[Algeria, Air Algerie, 1975, PW, 727, Jan, 1974, Africa, 1, 1, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:08,387 - INFO - Sent: b'[Algeria, Air Algerie, 1975, PW, 737-200, Jan, 1974, Africa, 2, 2, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:10,388 - INFO - Sent: b'[Algeria, Air Algerie, 2015, CF, 737-800, Jan, 2014, Africa, 2, 2, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:12,389 - INFO - Sent: b'[Algeria, Air Algerie, 2016, CF, 737-800, Jan, 2014, Africa, 6, 6, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:14,390 - INFO - Sent: b'[Algeria, Air Algerie, 1971, PW, 727, Feb, 1970, Africa, 2, 2, ]' on port 9999. Hit CTRL-c to stop.
2023-08-31 22:24:16,391 - INFO - Sent: b'[Algeria, Air Algerie, 1976, PW, 727, Mar, 1976, Africa, 1, 1, ]' on port 9999. Hit CTRL-c to stop.
